GEOID,NAME,variable,estimate,moe
"19041","Clay County, Iowa",B19001A_001,6989.000000000000000,235.000000000000000
"19149","Plymouth County, Iowa",B19001A_001,9580.000000000000000,228.000000000000000
"19167","Sioux County, Iowa",B19001A_001,11382.000000000000000,225.000000000000000
"19035","Cherokee County, Iowa",B19001A_001,4779.000000000000000,133.000000000000000
"19059","Dickinson County, Iowa",B19001A_001,8420.000000000000000,267.000000000000000
"19021","Buena Vista County, Iowa",B19001A_001,5418.000000000000000,199.000000000000000
"19141","O'Brien County, Iowa",B19001A_001,5421.000000000000000,222.000000000000000
"19119","Lyon County, Iowa",B19001A_001,4336.000000000000000,106.000000000000000
"19143","Osceola County, Iowa",B19001A_001,2364.000000000000000,87.000000000000000
